Transaction_ID,Date,Customer_ID,Customer_Age,Gender,Region,Product_Category,Units_Sold,Marketing_Spend,Revenue,Discount_Percent,Customer_Satisfaction,Profit
TXN10047,2024-04-26,1016,26.0,Male,East,Finance,6,3144.0,27250,30,1.0,15931.0
TXN10048,2024-08-02,1315,40.0,Male,,Healthcare,19,7265.0,28408,17,6.0,16313.64
TXN10049,2024-04-26,1065,66.0,Female,East,Finance,9,9077.0,44074,18,3.0,27063.68
TXN10050,2025-11-09,1300,61.0,Other,East,Retail,15,2188.0,13917,2,8.0,11450.66
TXN10051,2025-07-12,1354,58.0,Other,South,Electronics,6,1640.0,35685,9,10.0,30833.35
TXN10052,2025-02-26,1373,39.0,Male, north ,Software,15,1217.0,23345,4,1.0,21194.2
TXN10053,2023-02-03,1286,28.0,Female,East,Retail,4,4604.0,6135,0,6.0,1531.0
TXN10054,2026-02-21,1453,64.0,Female,South,Electronics,3,7391.0,48296,16,3.0,33177.64
TXN10055,2025-01-11,1302,45.0,Other,North,Electronics,10,1133.0,23917,25,9.0,16804.75
TXN10056,2025-09-16,1294,30.0,Female,North,Finance,18,6727.0,37397,34,1.0,17955.02
TXN10057,2026-02-28,1218,,Male,West,Software,8,3294.0,21116,2,4.0,17399.68
TXN10058,2026-01-12,1331,19.0,Other,East,Electronics,19,6574.0,19313,6,7.0,11580.22
TXN10059,2024-02-07,1067,67.0,,South,Finance,2,392.0,28941,39,9.0,17262.01
TXN10060,2023-01-22,1186,22.0,,East,Finance,14,5233.0,10840,18,5.0,3655.8
TXN10061,2023-07-23,1161,54.0,Other,West,Finance,18,6531.0,2000,23,6.0,-4991.0
TXN10062,2023-02-17,1186,49.0,Other,East,Healthcare,11,1270.0,41778,6,8.0,38001.32
TXN10063,2025-02-23,1063,43.0,Female,East,Healthcare,12,828.0,2380,20,9.0,1076.0
TXN10064,2024-06-08,1378,26.0,Female,West,Software,6,5704.0,3652,5,9.0,-2234.6
TXN10065,2023-12-16,1472,21.0,Female,East,Finance,1,9264.0,49469,17,9.0,31795.27
TXN10066,2023-04-18,1436,29.0,Other,South,Finance,10,4268.0,1210,8,3.0,-3154.8
TXN10067,2024-01-29,1113,68.0,Female,North,Retail,10,6304.0,24413,34,7.0,9808.58
TXN10068,2025-04-24,1498,18.0,Other,West,Electronics,4,7438.0,12317,6,10.0,4139.98
TXN10069,2024-09-14,1142,59.0,Female,South,Electronics,9,9799.0,33802,7,5.0,21636.86
TXN10070,2024-10-16,1436,18.0,Other,North,Healthcare,4,6353.0,17010,37,2.0,4363.3
TXN10071,2024-09-28,1433,39.0,Other,West,Electronics,14,6765.0,43980,25,1.0,26220.0
TXN10072,2023-10-04,1465,50.0,Male,East,Healthcare,11,5846.0,44809,29,9.0,25968.39
TXN10073,2023-11-06,1288,28.0,,North,Electronics,17,866.0,36235,26,5.0,25947.9
TXN10074,2025-04-07,1243,65.0,Female,East,Finance,12,3877.0,38831,7,3.0,32235.83
TXN10075,2023-02-05,1193,32.0,Male,West,Electronics,5,5183.0,16818,12,8.0,9616.84
TXN10076,2023-09-18,1164,46.0,Other,West,Finance,14,1638.0,48636,9,10.0,42620.76
TXN10077,2024-04-01,1319,68.0,Female,West,Electronics,16,3620.0,18783,13,10.0,12721.21
TXN10078,2025-10-04,1432,62.0,Other,East,Software,14,449.0,6437,38,1.0,3541.94
TXN10079,2025-08-31,1408,62.0,,North,Finance,3,2633.0,39793,3,8.0,35966.21
TXN10080,2024-03-10,1409,25.0,Other,North,Electronics,7,5401.0,48747,8,8.0,39446.24
TXN10081,2023-02-09,1276,59.0,Other,North,Finance,14,6492.0,44722,14,8.0,31968.92
TXN10082,2026-03-01,1021,48.0,male,East,Software,5,2439.0,12170,31,9.0,5958.3
TXN10083,2024-04-05,1469,47.0,Other,South,Software,3,8558.0,6795,18,1.0,-2986.1
TXN10084,2025-04-27,1117,32.0,Female,West,Software,13,1758.0,7449,32,1.0,3307.32
TXN10085,2024-07-20,1118,39.0,Female,East,Finance,13,9142.0,11513,32,7.0,-1313.16
TXN10086,2024-11-09,1270,25.0,Male,West,Healthcare,1,4578.0,29534,35,3.0,14619.1
TXN10087,2024-01-09,1282,58.0,,East,Retail,1,7278.0,23711,7,4.0,14773.23
TXN10088,2024-12-11,1461,31.0,Other,North,Finance,7,2874.0,18605,21,7.0,11823.95
TXN10089,2023-02-14,1373,21.0,Male,North,Electronics,14,8261.0,11289,37,5.0,-1148.93
TXN10090,2025-09-14,1348,,Male,South,Software,6,8592.0,21187,38,4.0,4543.94
TXN10091,2024-10-09,1053,60.0,Other,East,Software,10,7660.0,3877,35,3.0,-5139.95
TXN10092,2024-05-10,1384,68.0,Female,West,Finance,8,172.0,1183,24,6.0,727.08
TXN10093,2023-07-17,1267,50.0,Other,South,Finance,7,4697.0,31667,5,1.0,25386.65
TXN10094,2023-04-11,1177,62.0,male,West,Software,5,6891.0,2553,3,7.0,-4414.59
TXN10095,2025-09-28,1065,35.0,Other,West,Software,2,8426.0,3497,0,8.0,-4929.0
TXN10096,2023-06-19,1357,43.0,Male,North,Healthcare,7,6926.0,43424,32,10.0,22602.32
TXN10097,2023-01-30,1136,20.0,Other,East,Healthcare,14,1341.0,12219,16,4.0,8922.96
TXN10098,2023-10-10,1425,69.0,Other,East,Healthcare,9,3467.0,7037,22,8.0,2021.86
TXN10099,2023-07-10,1114,60.0,,West,Retail,3,295.0,4111,10,3.0,3404.9
TXN10100,2024-12-27,1099,,Other,West,Electronics,10,9755.0,11719,39,4.0,-2606.41
TXN10101,2025-11-02,1089,34.0,,South,electronics,17,2766.0,5087,20,7.0,1303.6
TXN10102,2024-10-08,1074,,Male,West,Finance,14,5948.0,5611,9,6.0,-841.99
TXN10103,2024-03-19,1088,59.0,Male,East,Software,14,5957.0,43908,10,10.0,33560.2
TXN10104,2023-04-17,1096,66.0,Other,North,Electronics,11,7195.0,8567,9,6.0,600.97
TXN10105,2024-05-12,1453,56.0,Other, north ,Software,10,9803.0,36377,23,6.0,18207.29
TXN10106,2024-05-01,1458,,Female,North,Software,6,3423.0,37823,28,6.0,23809.56
TXN10107,2024-06-13,1260,41.0,Other,East,Electronics,11,868.0,16750,36,5.0,9852.0
TXN10108,2025-10-26,1448,20.0,Female,East,Retail,11,6827.0,5040,10,6.0,-2291.0
TXN10109,2025-04-27,1466,39.0,Other,North,Electronics,8,8000.0,27501,30,5.0,11250.7
TXN10110,2023-02-19,1370,41.0,Female,South,Finance,8,5690.0,45441,8,2.0,36115.72
TXN10111,2025-09-27,1024,22.0,Male,South,Electronics,3,3604.0,21604,3,4.0,17351.88
TXN10112,2025-09-15,1115,67.0,Female,East,Healthcare,4,4950.0,22871,8,3.0,16091.32
TXN10113,2023-07-02,1102,46.0,Other,South,electronics,2,559.0,21058,21,,16076.82
TXN10114,2024-02-26,1384,54.0,Male,West,Healthcare,10,5124.0,9811,1,1.0,4588.89
TXN10115,2024-08-22,1320,68.0,Male,North,Healthcare,7,9193.0,49034,5,4.0,37389.3
TXN10116,2024-04-20,1061,24.0,Female,South,Finance,2,4640.0,29343,10,2.0,21768.7
TXN10117,2024-08-11,1025,38.0,Male,South,Healthcare,13,2951.0,41442,36,1.0,23571.88
TXN10118,2023-08-22,1073,27.0,Female,South,Finance,18,374.0,17084,15,4.0,14147.4
TXN10119,2023-11-28,1112,23.0,Other,East,Retail,1,4977.0,26740,32,10.0,13206.2
TXN10120,2025-02-13,1293,54.0,Other,North,Finance,17,4995.0,24152,19,8.0,14568.12
TXN10121,2023-08-14,1282,34.0,Female,North,Retail,3,8108.0,18658,16,1.0,7564.72
TXN10122,2024-04-14,1428,65.0,Male,North,Retail,3,3243.0,1296,7,3.0,-2037.72
TXN10123,2023-03-27,1319,41.0,Other,West,Healthcare,19,8803.0,28786,25,8.0,12786.5
TXN10124,2024-04-21,1246,48.0,Other,North,Finance,1,4825.0,10006,14,5.0,3780.16
TXN10125,2023-09-05,1307,29.0,Female,West,Finance,5,2810.0,23277,12,8.0,17673.76
TXN10126,2026-01-05,1063,23.0,Other,East,Retail,17,481.0,2297,38,6.0,943.14
TXN10127,2025-07-21,1482,61.0,Other,West,Electronics,9,9975.0,31433,9,1.0,18629.03
TXN10128,2023-03-27,1265,43.0,Other,South,Electronics,4,9999.0,33084,11,9.0,19445.76
TXN10129,2025-06-30,1403,27.0,Other,North,Software,7,3756.0,41963,34,3.0,23939.58
TXN10130,2025-04-30,1244,,Male,West,Healthcare,1,4585.0,3546,21,,-1783.66
TXN10131,2024-07-29,1293,64.0,Female,West,Finance,7,641.0,30610,29,2.0,21092.1
TXN10132,2024-02-05,1272,25.0,Female,South,Retail,14,5178.0,45777,22,1.0,30528.06
TXN10133,2025-11-25,1187,60.0,Female,West,Finance,3,993.0,41745,28,3.0,29063.4
TXN10134,2023-10-16,1277,32.0,Male,South,Retail,19,9636.0,28106,6,1.0,16783.64
TXN10135,2024-09-21,1094,25.0,Female,West,Electronics,16,2374.0,29441,17,2.0,22062.03
TXN10136,2024-12-28,1491,23.0,Other,South,Healthcare,2,3411.0,1677,7,7.0,-1851.39
TXN10137,2025-09-18,1055,55.0,Other,South,Finance,14,8137.0,33031,4,10.0,23572.76
TXN10138,2023-06-11,1069,18.0,Male,East,Healthcare,13,5317.0,22420,4,6.0,16206.2
TXN10139,2023-02-15,1411,50.0,Male,South,Healthcare,18,9838.0,21915,12,2.0,9447.2
TXN10140,2024-04-20,1486,28.0,Male, north ,Retail,12,9859.0,16809,18,7.0,3924.38
TXN10141,2024-02-03,1439,31.0,Other,West,Healthcare,10,4563.0,23301,5,,17572.95
TXN10142,2023-02-15,1389,61.0,Female,West,Retail,7,1426.0,49837,38,6.0,29472.94
TXN10143,2025-05-23,1013,69.0,Other,North,Retail,5,7891.0,9641,25,7.0,-660.25
TXN10144,2025-12-02,1131,60.0,,North,Retail,1,,36136,33,1.0,23186.12
TXN10145,2025-05-14,1147,65.0,Male,North,Retail,17,6144.0,28062,18,6.0,16866.84
TXN10146,2023-10-18,1236,46.0,,South,Finance,1,5637.0,17351,16,6.0,8937.84
TXN10147,2026-01-24,1009,66.0,Other,South,Finance,19,829.0,40699,28,2.0,28474.28
TXN10148,2023-07-03,1138,60.0,Male,South,Software,18,8648.0,30190,18,6.0,16107.8
TXN10149,2023-08-19,1043,20.0,Male,North,Retail,2,8656.0,17998,15,3.0,6642.3
TXN10150,2025-07-03,1230,50.0,Female,North,Electronics,6,5836.0,37274,38,10.0,17273.88
TXN10151,2023-09-23,1409,,Other,North,Healthcare,14,141.0,27574,18,8.0,22469.68
TXN10152,2023-09-27,1484,24.0,Other,South,Electronics,1,550.0,38965,16,8.0,32180.6
TXN10153,2023-01-02,1455,51.0,Other,South,Software,13,7119.0,36728,13,4.0,24834.36
TXN10154,2025-06-29,1188,24.0,Female,South,Software,1,3649.0,41197,27,10.0,26424.81
TXN10155,2023-07-28,1492,65.0,Female,South,Retail,6,1750.0,47662,32,4.0,30660.16
TXN10156,2024-07-14,1258,65.0,Female,East,Software,7,303.0,15283,32,1.0,10089.44
TXN10157,2025-10-03,1092,57.0,Female,East,Healthcare,13,8429.0,3112,18,3.0,-5877.16
TXN10158,2026-03-31,1167,69.0,,West,Finance,1,4335.0,13753,21,1.0,6529.87
TXN10159,2025-09-06,1248,32.0,Male,West,Software,2,4496.0,42291,4,2.0,36103.36
TXN10160,2023-09-13,1187,33.0,,South,Retail,18,1203.0,35580,9,7.0,31174.8
TXN10161,2024-07-30,1012,54.0,Male,North,Healthcare,14,1871.0,12843,32,9.0,6862.24
TXN10162,2024-04-06,1144,42.0,,,Electronics,4,6550.0,18717,14,7.0,9546.62
TXN10163,2024-06-23,1030,31.0,Other,East,Finance,17,5902.0,13907,14,3.0,6058.02
TXN10164,2023-06-06,1346,24.0,Female,South,Software,12,1541.0,35646,33,1.0,22341.82
TXN10165,2025-10-29,1434,58.0,Other,South,Software,2,7481.0,23034,7,6.0,13940.62
TXN10166,2024-09-04,1136,35.0,Other,North,Electronics,3,2207.0,9985,13,2.0,6479.95
TXN10167,2024-03-04,1274,63.0,Male,East,Software,13,,34049,11,4.0,24785.61
TXN10168,2025-04-02,1098,37.0,male,West,Retail,13,7843.0,26610,15,4.0,14775.5
TXN10169,2024-06-03,1464,43.0,Other,South,Electronics,7,6911.0,34735,16,3.0,22266.4
TXN10170,2025-01-23,1215,52.0,Female,East,Finance,13,,34929,4,6.0,29253.84
TXN10171,2023-05-24,1151,28.0,Other,South,Retail,14,1970.0,9148,2,9.0,6995.04
TXN10172,2025-10-01,1003,47.0,Male,West,Finance,8,9903.0,39535,12,1.0,24887.8
TXN10173,2025-12-04,1431,48.0,Male,East,Retail,5,2336.0,1126,22,3.0,-1457.72
TXN10174,2024-06-05,1213,26.0,Other,North,Finance,19,9909.0,5922,9,6.0,-4519.98
TXN10175,2024-03-16,1186,40.0,Male,South,Electronics,17,4816.0,32230,2,7.0,26769.4
TXN10176,2025-09-21,1433,36.0,Other,South,Software,14,5588.0,20697,17,2.0,11590.51
TXN10177,2023-06-26,1348,43.0,Male,West,Healthcare,9,8398.0,41639,6,10.0,30742.66
TXN10178,2024-10-01,1370,,male,South,Retail,14,6712.0,11439,34,1.0,837.74
TXN10179,2025-07-06,1145,65.0,Female,North,Healthcare,4,4967.0,2433,26,3.0,-3166.58
TXN10180,2023-05-25,1177,37.0,Male,South,Retail,19,3981.0,26450,26,4.0,15592.0
TXN10181,2023-01-12,1276,66.0,Male,South,Finance,11,1366.0,6165,10,2.0,4182.5
TXN10182,2026-03-30,1381,18.0,Female,South,Electronics,19,5492.0,12026,34,2.0,2445.16
TXN10183,2025-03-19,1041,54.0,Female,North,Healthcare,10,107.0,9499,19,6.0,7587.19
TXN10184,2023-03-11,1301,64.0,Male,South,Electronics,9,7879.0,29062,20,10.0,15370.6
TXN10185,2023-02-19,1389,,Female,South,Finance,5,1186.0,37074,2,1.0,35146.52
TXN10186,2024-01-02,1307,49.0,Male,West,Electronics,7,9437.0,33925,32,2.0,13632.0
TXN10187,2024-05-05,1403,23.0,Female,North,Retail,6,120.0,39062,6,9.0,36598.28
TXN10188,2024-03-12,1224,65.0,Other,East,Electronics,9,8707.0,1440,39,4.0,-7828.6
TXN10189,2024-10-09,1290,18.0,Other,,Finance,13,8808.0,28185,15,10.0,15149.25
TXN10190,2023-04-03,1303,41.0,Female,East,Software,16,2362.0,44232,16,9.0,34792.88
TXN10191,2024-11-21,1359,58.0,Male,East,Electronics,14,6061.0,13138,14,3.0,5237.68
TXN10192,2025-04-26,1306,27.0,Female,South,Software,6,2849.0,11860,17,7.0,6994.8
TXN10193,2024-07-13,1493,21.0,Female,South,Software,6,6008.0,43405,7,9.0,34358.65
TXN10194,2025-08-16,1355,65.0,Other,West,Finance,8,3634.0,22350,38,,10223.0
TXN10195,2024-04-06,1028,56.0,Other,West,Healthcare,11,8798.0,43566,30,3.0,21698.2
TXN10196,2026-02-03,1078,54.0,Female,North,Healthcare,6,1808.0,19308,33,4.0,11128.36
TXN10197,2026-01-06,1266,25.0,Male,North,Software,18,4519.0,31186,33,1.0,16375.62
TXN10198,2025-12-27,1324,22.0,Female,South,Software,3,3879.0,9362,1,4.0,5389.38
TXN10199,2025-11-23,1199,59.0,Male,South,Software,17,,16797,30,7.0,9689.9
TXN10200,2023-11-28,1297,21.0,Female,North,Software,19,4144.0,48182,25,3.0,31992.5
TXN10201,2025-12-28,1056,64.0,Male,East,Software,7,6379.0,45535,27,1.0,26861.55
TXN10202,2023-08-19,1381,68.0,Female,East,Retail,3,8050.0,47258,33,10.0,23612.86
TXN10203,2024-08-30,1384,40.0,Other,South,electronics,14,919.0,44590,9,10.0,39657.9
TXN10204,2025-02-02,1409,52.0,Male, north ,Finance,4,7504.0,6393,23,1.0,-2581.39
TXN10205,2025-10-06,1066,24.0,Male,South,Healthcare,1,7194.0,28274,7,10.0,19100.82
TXN10206,2023-03-20,1209,19.0,Male,West,Retail,1,7899.0,41943,11,2.0,29430.27
TXN10207,2024-03-03,1476,32.0,Other,East,Finance,9,,2468,35,6.0,-4896.8
TXN10208,2024-01-16,1092,21.0,Male,South,Finance,19,8683.0,45129,6,4.0,33738.26
TXN10209,2025-09-30,1337,40.0,Male,South,Software,12,110.0,19453,23,3.0,14868.81
TXN10210,2024-06-04,1154,29.0,Other,East,Finance,18,1268.0,3548,1,8.0,2244.52
TXN10211,2025-05-15,1281,42.0,Other,West,Finance,14,4005.0,41903,2,2.0,37059.94
TXN10212,2024-02-11,1410,39.0,Other,North,Retail,12,3390.0,41959,30,1.0,25981.3
TXN10213,2023-07-04,1210,47.0,Female,South,Healthcare,8,7913.0,29158,38,7.0,10164.96
TXN10214,2023-07-01,1103,,Female,South,Healthcare,7,5643.0,43224,27,1.0,25910.52
TXN10215,2023-09-18,1450,41.0,Female,South,Retail,7,3664.0,45364,10,2.0,37163.6
TXN10216,2023-02-14,1363,27.0,Male, north ,Software,3,2225.0,1410,1,2.0,-829.1
TXN10217,2025-03-22,1384,,Female,South,Software,16,1533.0,31260,10,3.0,26601.0
TXN10218,2024-03-09,1310,19.0,Other,South,Electronics,4,4103.0,30694,16,9.0,21679.96
TXN10219,2023-10-02,1362,25.0,Female,East,Healthcare,16,7144.0,44229,38,7.0,20277.98
TXN10220,2023-07-04,1306,50.0,Male,South,Software,15,1889.0,34493,39,,19151.73
TXN10221,2024-10-23,1060,,Other,South,Retail,18,2219.0,9697,14,6.0,6120.42
TXN10222,2023-05-02,1272,57.0,Female, north ,Software,10,1224.0,24960,15,10.0,19992.0
TXN10223,2023-01-19,1235,20.0,Female,West,Software,1,8546.0,10525,25,4.0,-652.25
TXN10224,2025-08-23,1381,32.0,Female,East,Retail,15,6895.0,48146,21,8.0,31140.34
TXN10225,2023-09-05,1310,60.0,Other,North,Software,9,9561.0,39506,5,10.0,27969.7
TXN10226,2023-01-06,1128,26.0,Other,East,Healthcare,6,8812.0,4967,7,10.0,-4192.69
TXN10227,2026-03-27,1344,27.0,Male,West,Healthcare,5,4277.0,7940,38,7.0,645.8
TXN10228,2025-07-27,1082,,Female,North,Electronics,15,2289.0,4067,12,9.0,1289.96
TXN10229,2025-07-31,1144,18.0,Other,West,Electronics,15,6115.0,7162,21,1.0,-457.02
TXN10230,2025-12-28,1364,37.0,Other,West,Finance,13,241.0,10127,24,8.0,7455.52
TXN10231,2023-08-27,1384,36.0,Male,East,Software,3,5672.0,30709,19,9.0,19202.29
TXN10232,2023-04-13,1062,33.0,Other,North,Electronics,6,8976.0,48654,20,4.0,29947.2
TXN10233,2025-06-27,1134,28.0,Other,West,Software,10,9803.0,7608,29,6.0,-4401.32
TXN10234,2025-04-02,1249,28.0,,West,Retail,10,3206.0,3587,7,5.0,129.91
TXN10235,2026-01-17,1048,22.0,Female,South,Retail,15,5512.0,38732,8,4.0,30121.44
TXN10236,2023-04-02,1446,43.0,Female,East,Retail,3,3399.0,19957,6,8.0,15360.58
TXN10237,2025-10-16,1286,56.0,Male,East,Finance,13,1324.0,17143,15,10.0,13247.55
TXN10238,2024-03-15,1275,24.0,Female,South,Software,4,4769.0,46317,28,2.0,28579.24
TXN10239,2025-11-06,1101,26.0,Other,North,Finance,10,9774.0,43098,30,,20394.6
TXN10240,2024-05-09,1263,25.0,Female,East,Software,17,8001.0,48276,13,5.0,33999.12
TXN10241,2024-10-07,1054,32.0,Other,,Finance,18,2818.0,40705,1,6.0,37479.95
TXN10242,2023-04-15,1042,43.0,Male,East,Software,4,8000.0,23998,18,3.0,11678.36
TXN10243,2024-08-28,1476,50.0,Female,East,Software,19,2992.0,7996,32,6.0,2445.28
TXN10244,2023-03-15,1059,54.0,Male,South,Electronics,6,1741.0,46974,21,,35368.46
TXN10245,2024-11-26,1219,22.0,Male,South,Software,19,6010.0,19876,20,4.0,9890.8
TXN10246,2023-10-23,1335,30.0,Female,West,Retail,18,1916.0,40696,5,1.0,36745.2
TXN10247,2025-08-24,1331,37.0,Male,South,Electronics,10,6084.0,20116,4,4.0,13227.36
TXN10248,2024-07-03,1351,,Other,West,Retail,13,9598.0,7039,6,10.0,-2981.34
TXN10249,2023-12-09,1294,62.0,Female,East,Healthcare,5,8867.0,42256,17,4.0,26205.48
TXN10250,2025-03-25,1281,,Male, north ,Electronics,17,8220.0,13615,6,9.0,4578.1
TXN10251,2024-11-06,1163,53.0,Other,South,Electronics,4,859.0,25099,12,5.0,21228.12
TXN10252,2025-07-05,1022,39.0,Other,East,Electronics,3,7617.0,19594,12,6.0,9625.72
TXN10253,2025-06-15,1017,69.0,Male,West,Electronics,4,6306.0,48635,6,9.0,39410.9
TXN10254,2023-08-01,1387,38.0,Male,South,Finance,9,1698.0,42795,6,3.0,38529.3
TXN10255,2024-06-29,1025,59.0,, north ,Electronics,15,8835.0,41857,13,5.0,27580.59
TXN10256,2023-09-25,1326,23.0,Other,West,Healthcare,8,9451.0,35584,30,9.0,15457.8
TXN10257,2023-10-31,1134,63.0,Male,West,Retail,19,1532.0,6996,34,7.0,3085.36
TXN10258,2026-03-09,1326,51.0,Other,,Retail,11,119.0,5443,34,7.0,3473.38
TXN10259,2025-11-26,1438,62.0,Male,North,Retail,6,9205.0,44538,7,6.0,32215.34
TXN10260,2024-04-01,1332,23.0,Other,South,Healthcare,11,4083.0,7119,7,4.0,2537.67
TXN10261,2024-12-12,1444,23.0,Other,West,Retail,16,5877.0,45810,6,8.0,37184.4
TXN10262,2025-04-01,1304,65.0,Other,East,Retail,1,5300.0,29257,6,9.0,22201.58
TXN10263,2025-02-14,1093,48.0,male,East,Retail,14,6745.0,21447,0,7.0,14702.0
TXN10264,2024-02-10,1246,18.0,Female,West,Retail,6,2145.0,44958,27,1.0,30674.34
TXN10265,2023-05-07,1112,28.0,Male,North,Retail,7,5415.0,16581,9,7.0,9673.71
TXN10266,2024-03-10,1470,40.0,Other,North,Electronics,11,7867.0,45997,1,2.0,37670.03
TXN10267,2023-08-16,1341,22.0,Male,West,Retail,17,4382.0,44339,20,6.0,31089.2
TXN10268,2025-06-13,1438,48.0,Other,South,Software,4,8662.0,14534,0,5.0,5872.0
TXN10269,2025-04-29,1189,51.0,Other,South,Electronics,12,8963.0,5335,29,9.0,-5175.15
TXN10270,2025-02-15,1202,64.0,Male,South,Finance,11,5407.0,9979,5,1.0,4073.05
TXN10271,2025-06-03,1458,25.0,Other,East,Finance,18,2396.0,5374,21,5.0,1849.46
TXN10272,2024-12-20,1323,43.0,Other,North,Finance,16,1214.0,5332,38,10.0,2091.84
TXN10273,2025-09-14,1081,67.0,,East,Software,16,6169.0,31579,35,,14357.35
TXN10274,2024-03-19,1484,50.0,Female,West,Electronics,6,4272.0,32785,21,6.0,21628.15
TXN10275,2023-04-14,1469,39.0,Female,West,Finance,16,9062.0,9262,12,,-911.44
TXN10276,2024-08-07,1287,35.0,Female,North,Healthcare,16,,45818,19,5.0,35091.58
TXN10277,2025-06-28,1313,50.0,Other,North,Healthcare,5,6949.0,626,26,10.0,-6485.76
